Calories,Water,Carbohydrate,Protein,Fat,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Selenium,Zinc,Potassium,Sodium,Vitamin A,Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B6,Folate,Vitamin C,Vitamin E,Vitamin K,Choline
58.0,83.29,12.44,2.57,0.1,30.0,0.423,3.24,23.0,0.602,38.0,0.3,0.35,413.0,10.0,0.0,0.021,0.038,1.033,0.302,0.239,17.0,11.4,0.0,0.0,0.0
40.0,89.11,9.34,1.1,0.1,23.0,0.039,0.21,10.0,0.129,29.0,0.5,0.17,146.0,4.0,0.0,0.046,0.027,0.116,0.123,0.12,19.0,7.4,0.02,0.4,6.1
614.0,1.64,18.82,20.96,55.5,347.0,0.934,3.49,279.0,2.131,508.0,2.4,3.29,748.0,7.0,0.0,0.041,0.939,3.155,0.318,0.103,53.0,0.0,24.21,0.0,52.1
46.0,88.24,11.3,0.1,0.13,8.0,0.012,0.12,5.0,0.074,7.0,0.1,0.02,101.0,4.0,0.0,0.021,0.017,0.073,0.049,0.018,0.0,0.9,0.01,0.0,1.8
30.0,88.26,10.54,0.7,0.2,33.0,0.065,0.6,6.0,0.008,18.0,0.4,0.11,102.0,2.0,2.0,0.03,0.02,0.2,0.217,0.043,8.0,29.1,0.22,0.6,5.1
47.0,86.75,11.75,0.94,0.12,40.0,0.045,0.1,10.0,0.025,14.0,0.5,0.07,181.0,0.0,11.0,0.087,0.04,0.282,0.25,0.06,30.0,53.2,0.18,0.0,8.4
29.0,88.98,9.32,1.1,0.3,26.0,0.037,0.6,8.0,0.03,16.0,0.4,0.06,138.0,2.0,1.0,0.04,0.02,0.1,0.19,0.08,11.0,53.0,0.15,0.0,5.1
45.0,88.3,10.4,0.7,0.2,11.0,0.044,0.2,11.0,0.014,17.0,0.1,0.05,200.0,1.0,10.0,0.09,0.03,0.4,0.19,0.04,30.0,50.0,0.04,0.1,6.2
48.0,86.67,12.76,0.27,0.13,5.0,0.031,0.07,4.0,0.038,11.0,0.0,0.05,90.0,0.0,2.0,0.019,0.028,0.091,0.071,0.037,0.0,4.0,0.05,0.6,3.4
892.0,0.03,0.0,0.0,99.06,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.6,0.3
579.0,4.41,21.55,21.15,49.93,269.0,1.031,3.71,270.0,2.179,481.0,4.1,3.12,733.0,1.0,0.0,0.205,1.138,3.618,0.471,0.137,44.0,0.0,25.63,0.0,52.1
15.0,96.54,1.31,0.4,0.96,184.0,0.02,0.28,6.0,0.04,9.0,0.1,0.06,67.0,72.0,0.0,0.0,0.01,0.07,0.01,0.0,1.0,0.0,6.33,0.0,3.1
17.0,94.79,3.11,1.21,0.32,16.0,0.053,0.37,18.0,0.177,38.0,0.2,0.32,261.0,8.0,10.0,0.045,0.094,0.451,0.204,0.163,24.0,17.9,0.12,4.3,9.5
10.0,96.73,2.16,0.59,0.16,14.0,0.071,0.22,12.0,0.073,21.0,0.1,0.17,136.0,2.0,4.0,0.031,0.025,0.037,0.24,0.051,14.0,3.2,0.03,7.2,5.7
89.0,74.91,22.84,1.09,0.33,5.0,0.078,0.26,27.0,0.27,22.0,1.0,0.15,358.0,1.0,3.0,0.031,0.073,0.665,0.334,0.367,20.0,8.7,0.1,0.5,9.8
25.0,92.18,5.8,1.28,0.1,40.0,0.019,0.47,12.0,0.16,26.0,0.3,0.18,170.0,18.0,5.0,0.061,0.04,0.234,0.212,0.124,43.0,36.6,0.15,76.0,10.7
25.0,92.07,4.97,1.92,0.28,22.0,0.039,0.42,15.0,0.155,44.0,0.6,0.27,299.0,30.0,0.0,0.05,0.06,0.507,0.667,0.184,57.0,48.2,0.08,15.5,44.3
34.0,89.3,6.64,2.82,0.37,47.0,0.049,0.73,21.0,0.21,66.0,2.5,0.41,316.0,33.0,31.0,0.071,0.117,0.639,0.573,0.175,63.0,89.2,0.78,101.6,18.7
35.0,89.63,4.42,2.92,1.49,254.0,0.053,1.6,33.0,0.92,55.0,0.9,0.39,348.0,53.0,241.0,0.113,0.347,1.18,0.37,0.147,62.0,93.4,0.66,389.6,0.5
26.0,92.21,6.03,0.99,0.3,7.0,0.017,0.43,12.0,0.112,26.0,0.1,0.25,211.0,4.0,157.0,0.054,0.085,0.979,0.317,0.291,46.0,127.7,1.58,4.9,5.6
160.0,73.23,8.53,2.0,14.66,12.0,0.19,0.55,29.0,0.142,52.0,0.4,0.64,485.0,7.0,7.0,0.067,0.13,1.738,1.389,0.257,81.0,10.0,2.07,21.0,14.2
57.0,83.96,15.23,0.36,0.14,9.0,0.082,0.18,7.0,0.048,12.0,0.1,0.1,116.0,1.0,1.0,0.012,0.026,0.161,0.049,0.029,7.0,4.3,0.12,4.4,5.1
20.0,93.22,3.88,2.2,0.12,24.0,0.189,2.14,14.0,0.158,52.0,2.3,0.54,202.0,2.0,38.0,0.143,0.141,0.978,0.274,0.091,52.0,5.6,1.13,41.6,16.0
50.0,86.0,13.12,0.54,0.12,13.0,0.11,0.29,12.0,0.927,8.0,0.1,0.12,109.0,1.0,3.0,0.079,0.032,0.5,0.213,0.112,18.0,47.8,0.02,0.7,5.5
41.0,88.29,9.58,0.93,0.24,33.0,0.045,0.3,12.0,0.143,35.0,0.1,0.24,320.0,69.0,835.0,0.066,0.058,0.983,0.273,0.138,19.0,5.9,0.66,13.2,8.8
30.0,91.45,7.55,0.61,0.15,7.0,0.042,0.24,10.0,0.038,11.0,0.4,0.1,112.0,1.0,28.0,0.033,0.021,0.178,0.221,0.045,3.0,8.1,0.05,0.1,4.1
86.0,76.05,18.7,3.27,1.35,2.0,0.054,0.52,37.0,0.163,89.0,0.6,0.46,270.0,15.0,9.0,0.155,0.055,1.77,0.717,0.093,42.0,6.8,0.07,0.3,23.0
75.0,79.53,17.99,1.2,0.3,36.0,0.12,0.59,29.0,0.56,71.0,1.8,0.59,375.0,10.0,0.0,0.09,0.05,0.7,0.6,0.09,67.0,17.0,1.49,22.5,0.0
81.0,78.86,14.45,5.42,0.4,25.0,0.176,1.47,33.0,0.41,108.0,1.8,1.24,244.0,5.0,38.0,0.266,0.132,2.09,0.104,0.169,65.0,40.0,0.13,24.8,28.4
23.0,91.4,3.63,2.86,0.39,99.0,0.13,2.71,79.0,0.897,49.0,1.0,0.53,558.0,79.0,469.0,0.078,0.189,0.724,0.065,0.195,194.0,28.1,2.03,482.9,19.3
83.0,82.31,1.18,9.98,5.26,282.0,0.2,2.04,35.0,0.666,111.0,13.0,1.07,130.0,4.0,0.0,0.048,0.048,0.241,0.844,0.083,9.0,0.0,0.01,2.8,33.0
371.0,9.9,74.67,13.04,1.51,21.0,0.289,1.3,53.0,0.917,189.0,63.2,1.41,223.0,6.0,0.0,0.09,0.06,1.7,0.431,0.142,18.0,0.0,0.11,0.1,0.0
34.0,90.15,8.16,0.84,0.19,9.0,0.041,0.21,12.0,0.041,15.0,0.4,0.18,267.0,16.0,169.0,0.041,0.019,0.734,0.105,0.072,21.0,36.7,0.05,2.5,7.6
368.0,13.28,64.16,14.12,6.07,47.0,0.59,4.57,197.0,2.033,457.0,8.5,3.1,563.0,5.0,1.0,0.36,0.318,1.52,0.772,0.487,184.0,0.0,2.44,0.0,70.2
376.0,8.56,77.43,12.76,0.64,24.0,0.247,1.08,44.0,0.78,170.0,0.0,0.83,166.0,10.0,0.0,0.163,0.078,3.49,1.243,0.11,20.0,0.0,0.0,0.0,0.0
486.0,5.8,42.12,16.54,30.74,631.0,0.924,7.72,335.0,2.723,860.0,55.2,4.58,407.0,16.0,0.0,0.62,0.17,8.83,0.0,0.0,49.0,1.6,0.5,0.0,0.0
559.0,5.23,10.71,30.23,49.05,46.0,1.343,8.82,592.0,4.543,1233.0,9.4,7.81,809.0,7.0,1.0,0.273,0.153,4.987,0.75,0.143,58.0,1.9,2.18,7.3,63.0
378.0,7.68,62.95,20.47,6.04,57.0,0.656,4.31,79.0,21.306,252.0,0.0,2.76,718.0,24.0,3.0,0.477,0.212,1.541,1.588,0.535,557.0,4.0,0.82,9.0,99.3
341.0,11.02,62.36,21.6,1.42,123.0,0.841,5.02,171.0,1.06,352.0,3.2,3.65,1483.0,5.0,0.0,0.9,0.193,1.955,0.899,0.286,444.0,0.0,0.21,5.6,66.4
47.0,89.28,9.17,0.28,0.97,118.0,0.037,0.2,11.0,0.282,56.0,2.2,0.13,27.0,39.0,63.0,0.027,0.142,0.39,0.146,0.039,2.0,0.0,0.47,0.2,2.1
61.0,83.07,14.66,1.14,0.52,34.0,0.13,0.31,17.0,0.098,34.0,0.2,0.14,312.0,3.0,4.0,0.027,0.025,0.341,0.183,0.063,25.0,92.7,1.46,40.3,7.8
371.0,9.9,74.67,13.04,1.51,21.0,0.289,1.3,53.0,0.917,189.0,63.2,1.41,223.0,6.0,0.0,0.09,0.06,1.7,0.431,0.142,18.0,0.0,0.11,0.1,0.0
371.0,9.9,74.67,13.04,1.51,21.0,0.289,1.3,53.0,0.917,189.0,63.2,1.41,223.0,6.0,0.0,0.09,0.06,1.7,0.431,0.142,18.0,0.0,0.11,0.1,0.0
387.0,3.32,77.78,12.94,4.54,7.0,0.262,3.19,144.0,1.113,358.0,0.0,3.08,329.0,8.0,10.0,0.104,0.083,2.308,0.51,0.157,31.0,0.0,0.29,1.2,21.2
380.0,1.34,98.09,0.12,0.0,83.0,0.047,0.71,9.0,0.064,4.0,1.2,0.03,133.0,28.0,0.0,0.0,0.0,0.11,0.132,0.041,1.0,0.0,0.0,0.0,2.3
584.0,4.73,20.0,20.78,51.46,78.0,1.8,5.25,325.0,1.95,660.0,53.0,5.0,645.0,9.0,3.0,1.48,0.355,8.335,1.13,1.345,227.0,1.4,35.17,0.0,55.1
553.0,5.2,30.19,18.22,43.85,37.0,2.195,6.68,292.0,1.655,593.0,19.9,5.78,660.0,12.0,0.0,0.423,0.058,1.062,0.864,0.417,25.0,0.5,0.9,34.1,0.0
18.0,94.52,3.89,0.88,0.2,10.0,0.059,0.27,11.0,0.114,24.0,0.0,0.17,237.0,5.0,42.0,0.037,0.019,0.594,0.089,0.08,15.0,13.7,0.54,7.9,6.7
22.0,92.45,3.26,3.09,0.34,3.0,0.318,0.5,9.0,0.047,86.0,9.3,0.52,318.0,5.0,0.0,0.081,0.402,3.607,1.497,0.104,17.0,2.1,0.01,0.0,17.3
654.0,4.07,13.71,15.23,65.21,98.0,1.586,2.91,158.0,3.414,346.0,4.9,3.09,441.0,2.0,1.0,0.341,0.15,1.125,0.57,0.537,98.0,1.3,0.7,2.7,39.2
